German,English
ich,I
sie,you
das,the
du,you
ist,is
nicht,Not
die,the
und,and
es,it
der,the
was,What
wir,we
er,he
zu,to
ein,a
in,in
mit,with
mir,me
den,the
wie,how
ja,Yes
auf,on
mich,me
so,so
eine,one
aber,but
hier,here
sind,are
für,for
von,from
haben,to have
hat,Has
dich,you
war,was
dass,that
wenn,if
an,on
da,there
nein,no
bin,am
noch,still
dir,to you
nur,only 
habe,have
ihr,your
sich,themselves
einen,a
uns,us
hast,have
dem,to the
ihn,him
aus,out
kann,can
gut,Good
auch,also
schon,nice
jetzt,now
im,in the
sein,be
mal,times
dann,then
meine,my
als,as
um,around
mein,my
doch,yet
bist,are you
wird,will
keine,none
nach,after
alles,All
man,one
lch,lch
oder,or
nichts,nothing
wo,Where
werden,will
weiß,White
will,want
geht,goes
mehr,more
warum,why
hab,have
ihnen,them
bitte,You're welcome
etwas,some
bei,at
muss,got to
los,Come on
immer,always
oh,Oh
vor,before
mann,man
zum,for the
wieder,again
sehr,very
sehen,see
sagen,say
also,so
gehen,walk